date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:49	9554/9554	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/2009/06/16/simple-css-shiny-progress-bar-technique.html	D:/Ven/benogle.com/2009/06/16/simple-css-shiny-progress-bar-technique.html	(from )
13:55:50	5377/5377	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jul%202013%2008:25:51%20GMT	http://benogle.com/robots.txt		(from )
13:55:51	8086/8086	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/css/normalize.css	D:/Ven/benogle.com/css/normalize.css	(from )
13:55:52	3521/3521	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/css/basics.css	D:/Ven/benogle.com/css/basics.css	(from )
13:55:52	29977/29977	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2016%20Jul%202013%2008:20:10%20GMT	http://use.typekit.net/lto5auq.js	D:/Ven/use.typekit.net/lto5auq.js	(from )
13:55:52	4502/4502	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/css/code.css	D:/Ven/benogle.com/css/code.css	(from )
13:55:53	10100/10100	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/js/jquery.lightbox.js	D:/Ven/benogle.com/js/jquery.lightbox.js	(from )
13:55:54	2366/2366	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/css/jquery.lightbox.css	D:/Ven/benogle.com/css/jquery.lightbox.css	(from )
13:55:54	1651/1651	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/images/logo/mark-filled.png	D:/Ven/benogle.com/images/logo/mark-filled.png	(from )
13:55:54	644/644	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/images/meter-outline.png	D:/Ven/benogle.com/images/meter-outline.png	(from )
13:55:59	28711/28711	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Apr%202013%2021:41:17%20GMT	http://benogle.com/images/pic/human.png	D:/Ven/benogle.com/images/pic/human.png	(from )
13:56:02	86605/86605	---M--	200	added ('OK')	application/javascript	etag:%2283a767c394d6e5984aee83982b25bfe5%22	http://platform.twitter.com/widgets.js	D:/Ven/platform.twitter.com/widgets.js	(from )
13:56:02	249159/249159	---MC-	200	added ('OK')	text/javascript	date:Mon,%2002%20Apr%202012%2018:24:28%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.0/jquery.js	D:/Ven/ajax.googleapis.com/ajax/libs/jquery/1.7.0/jquery.js	(from )
